IPK,Jumlah_Absensi,Waktu_Belajar_Jam,Lulus,Rasio_Absensi,IPK_x_Study
3.8479729072068123,1,8.243278217521418,1,0.07142857142857142,31.71991124759048
2.5913425133567927,5,3.3279954837141097,1,0.35714285714285715,8.623976181207777
3.1546204935152735,7,9.727350214164185,1,0.5,30.686098333202523
4.0,3,10.466138595083862,1,0.21428571428571427,41.86455438033545
3.857248323472629,1,12.863828013698189,1,0.07142857142857142,49.618979039277576
3.6885018682160506,2,8.671474776877107,1,0.14285714285714285,31.984750914699568
3.6879658783988147,0,9.938675654171153,1,0.0,36.65349668905623
3.1753474930558845,4,6.947101489296051,1,0.2857142857142857,22.059461298041015
3.28599735341073,7,6.6655438276441235,1,0.5,21.902959376681817
3.7593160308919322,4,11.300044594698958,1,0.2857142857142857,42.48043879464552
2.900836976494887,5,4.582655241987707,1,0.35714285714285715,13.293535776486065
2.092721549216918,10,5.732311605409944,1,0.7142857142857143,11.996132023467617
2.752130837225503,5,4.177411888977693,1,0.35714285714285715,11.496784079447949
2.7285282722798736,7,3.439086678929576,1,0.5,9.383645234280445
2.6287020053163848,7,4.743934526167792,1,0.5,12.470390202026909
2.526473057473386,7,3.438993158738299,1,0.5,8.688523560387607
2.808655540925664,7,4.827988176797059,1,0.5,13.560155744284655
2.4364608749123438,8,4.703429046465292,1,0.5714285714285714,11.459720849638956
3.6279211453625644,5,9.066545815859206,1,0.35714285714285715,32.892713280754094
3.902622257462813,1,11.302576176699723,1,0.07142857142857142,44.10968535385728
2.9922134669585096,7,4.989583934594853,1,0.5,14.929900243614545
2.071277324703237,14,1.0,1,1.0,2.071277324703237
2.3771803008853762,7,5.782350342417661,1,0.5,13.745689326813075
2.3215130761947576,8,3.8093489424948404,1,0.5714285714285714,8.843453381790443
2.726399602076612,9,4.171247093467319,0,0.6428571428571429,11.372486415792524
3.3631025090288524,5,8.75086898873126,1,0.35714285714285715,29.430069452184874
4.0,4,13.820646157646802,1,0.2857142857142857,55.28258463058721
